Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33574185,Bored and Brilliant: How Spacing Out Can Unlock Your Most Productive & Creative Self,Manoush Zomorodi,"Zomorodi, Manoush",,1250124956,9781250124951,0,3.77,St. Martin's Press,Hardcover,208,2017,2017,,4/25/18,to-read,to-read (#204),to-read,,,,0,,,0,,,,,
128429,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"Bernstein, Peter L.",,0471295639,9780471295631,0,3.96,Wiley,Paperback,383,1998,1996,,4/9/18,to-read,to-read (#203),to-read,,,,0,,,0,,,,,
3393233,The Sense of Structure: Writing from the Reader's Perspective,George D. Gopen,"Gopen, George D.",,0205296327,9780205296323,0,4.26,Pearson,Paperback,256,2004,2004,,4/6/18,to-read,to-read (#202),to-read,,,,0,,,0,,,,,
6966800,Style: Lessons in Clarity and Grace,Joseph M. Williams,"Williams, Joseph M.",Gregory G. Colomb,0205747469,9780205747467,0,4.15,Longman,Paperback,265,2010,1981,,4/6/18,to-read,to-read (#201),to-read,,,,0,,,0,,,,,
26401716,"The Truthful Art: Data, Charts, and Maps for Communication",Alberto Cairo,"Cairo, Alberto",,0321934075,9780321934079,0,4.34,New Riders Publishing,Paperback,400,2016,2016,,4/6/18,to-read,to-read (#200),to-read,,,,0,,,0,,,,,
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",,1400052173,9781400052172,5,4.05,Crown Publishing Group,Hardcover,370,2010,2010,3/24/18,7/15/17,,,read,"The Big Idea:<br/><br/>""Henrietta Lacks was unknown before this book, even though a culture of her cancer cells was the first and most successful human cell line used in a huge variety of medical experiments. The story covers her life, the story of her family through the books publication, and the science behind the cell line. <br/><br/>The author did an excellent job of capturing the humanity behind the people in this true and amazing story""<br/>Â <br/>Highlights:<br/>Â <br/>â€œShe's the most important person in the world and her family living in poverty. If our mother is so important to science, why can't we get health insurance?â€ù <br/><br/>â€œHenriettaâ€™s cells have now been living outside her body far longer than they ever lived inside it,â€ù<br/><br/>""""""There is no evidence that the scientists who did research on patients at Crownsville got consent from either the patients of their parents. Bases on the number of patients listed in the pneumoencephalography studyand the years it was conducted, Lurz told me later, it most likely involved every epileptic child in the hospital including Elsie. The same is likely true of at lest on other study called """"The Use of Deep Temporal Leads in the Study of Psychomotor Epilepsy,"""" which involved inserting metal probes into patients' brains.â€ù ""<br/><br/><br/>Actionable Items:<br/><br/>Read more great books<br/><br/><br/><br/><br/><br/>Other Notes & Takeaways:<br/><br/><br/><br/><br/>Format Consumed:<br/>Audiobook",,,1,,,0,,,,,
34121119,Camino Island,John Grisham,"Grisham, John",,0385543026,9780385543026,2,3.73,Doubleday,Hardcover,290,2017,2017,3/21/18,3/26/18,,,read,"The Big Idea:<br/><br/>Some crime story<br/><br/>Fine for pulp, would definitely recommend reading something else. <br/><br/><br/><br/>Format Consumed:<br/>Audiobook",,,1,,,0,,,,,
7888001,Obliquity: Why Our Goals Are Best Achieved Indirectly,John Kay,"Kay, John",,1846682886,9781846682889,0,3.63,Profile Books,Hardcover,224,2010,2010,,3/14/18,to-read,to-read (#198),to-read,,,,0,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,0060512806,9780060512804,0,4.25,Avon,Paperback,1139,2002,1999,,3/14/18,to-read,to-read (#197),to-read,,,,0,,,0,,,,,
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,1400063515,9781400063512,0,3.91,Random House ,Hardcover,366,2007,2007,,3/14/18,to-read,to-read (#196),to-read,,,,0,,,0,,,,,
2761,The Denial of Death,Ernest Becker,"Becker, Ernest","Sam Keen, Daniel Goleman",0684832402,9780684832401,0,4.17,Free Press,Paperback,336,1997,1973,,3/14/18,to-read,to-read (#195),to-read,,,,0,,,0,,,,,
79766,"A Pattern Language: Towns, Buildings, Construction",Christopher W. Alexander,"Alexander, Christopher W.","Sara Ishikawa, Murray Silverstein, Max  Jacobson, Ingrid Fiksdahl-King, Shlomo Angel",0195019199,9780195019193,0,4.39,"Oxford University Press, USA",Hardcover,1216,1977,1977,,3/14/18,to-read,to-read (#194),to-read,,,,0,,,0,,,,,
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,0316219266,9780316219266,0,4.12,"Little, Brown and Company",Hardcover,384,2013,2013,,3/14/18,to-read,to-read (#193),to-read,,,,0,,,0,,,,,
23546676,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,"Popper, Nathaniel",,0062362496,9780062362490,0,4.17,Harper,Hardcover,416,2015,2015,,3/14/18,to-read,to-read (#192),to-read,,,,0,,,0,,,,,
26097555,Breaking Smart - Season 1,Venkatesh G. Rao,"Rao, Venkatesh G.",,,,0,4.3,Self published,ebook,,2015,2015,,3/14/18,to-read,to-read (#191),to-read,,,,0,,,0,,,,,
2054761,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,"Schroeder, Alice",,0553805096,9780553805093,0,4.09,Bantam,Hardcover,929,2008,2008,,3/14/18,to-read,to-read (#190),to-read,,,,0,,,0,,,,,
32762240,"Ethereum: Blockchains, Digital Assets, Smart Contracts, Decentralized Autonomous Organizations",Henning Diedrich,"Diedrich, Henning",,1523930470,9781523930470,0,3.9,CreateSpace Independent Publishing Platform,Paperback,360,2016,,,3/14/18,to-read,to-read (#189),to-read,,,,0,,,0,,,,,
402093,"ShÅçgun (Asian Saga, #1)",James Clavell,"Clavell, James",,0440178002,9780440178002,0,4.38,BantamDell,Paperback,1152,2009,1975,,3/14/18,to-read,to-read (#188),to-read,,,,0,,,0,,,,,
2232533,"Science, Strategy and War: The Strategic Theory of John Boyd",Frans P.B. Osinga,"Osinga, Frans P.B.",,0415459524,9780415459525,0,4.28,Routledge,Paperback,313,2007,2006,,3/14/18,to-read,to-read (#187),to-read,,,,0,,,0,,,,,
20578350,"Hello, My Name Is Awesome: How to Create Brand Names That Stick",Alexandra Watkins,"Watkins, Alexandra",,1626561869,9781626561861,0,4.18,Berrett-Koehler Publishers,Paperback,110,2014,2014,,3/14/18,to-read,to-read (#186),to-read,,,,0,,,0,,,,,
900979,"Management: Tasks, Responsibilities, Practices",Peter F. Drucker,"Drucker, Peter F.",,0887306152,9780887306150,0,4.29,HarperBusiness,Paperback,864,1993,1985,,3/14/18,to-read,to-read (#185),to-read,,,,0,,,0,,,,,
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,0316796883,9780316796880,0,4.36,Back Bay Books,Paperback,504,2004,2002,,3/14/18,to-read,to-read (#184),to-read,,,,0,,,0,,,,,
31869077,The Internet of Money,Andreas M. Antonopoulos,"Antonopoulos, Andreas M.",,,,0,4.13,Merkle Bloom LLC,Kindle Edition,150,2016,2016,,3/14/18,to-read,to-read (#183),to-read,,,,0,,,0,,,,,
8701960,"The Information: A History, a Theory, a Flood",James Gleick,"Gleick, James","Claude Shannon, John J. Carty, Jean-Pierre Dupuy, Charles Babbage, Ada Lovelace, Jacob Palme",0375423729,9780375423727,0,3.99,Knopf Doubleday Publishing Group,Hardcover,527,2011,2011,,3/14/18,to-read,to-read (#182),to-read,,,,0,,,0,,,,,
243685,A History of Western Philosophy,Bertrand Russell,"Russell, Bertrand",,0671201581,9780671201586,0,4.07,Simon & Schuster,Paperback,906,1986,1945,,3/14/18,to-read,to-read (#181),to-read,,,,0,,,0,,,,,
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, George Gibian",,,0,4.04,Vintage,Paperback,964,2012,1877,,3/14/18,to-read,to-read (#180),to-read,,,,0,,,0,,,,,
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,0394720245,9780394720241,0,4.5,Vintage,Paperback,1344,1975,1974,,3/14/18,to-read,to-read (#179),to-read,,,,0,,,0,,,,,
583785,The Systems Bible: The Beginner's Guide to Systems Large and Small: Being the Third Edition of Systemantics,John Gall,"Gall, John",,0961825170,9780961825171,0,4.04,General Systemantics Press,Hardcover,314,2002,1977,,3/14/18,to-read,to-read (#178),to-read,,,,0,,,0,,,,,
27845690,The Course of Love,Alain de Botton,"Botton, Alain de",,0241145473,9780241145470,0,4.03,Hamish Hamilton,Hardcover,240,2016,2016,,3/14/18,to-read,to-read (#177),to-read,,,,0,,,0,,,,,
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,0684832720,9780684832722,0,4.3,Touchstone,Paperback,448,1999,1997,,3/14/18,to-read,to-read (#176),to-read,,,,0,,,0,,,,,
6583629,"You're It! On Hiding, Seeking, and Being Found",Alan W. Watts,"Watts, Alan W.",,1591797349,9781591797340,0,4.5,Sounds True,Audio CD,10,2009,2009,,3/14/18,to-read,to-read (#175),to-read,,,,0,,,0,,,,,
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Toinette Lippe, Jacob Needleman",0679724346,9780679724346,0,4.31,Vintage,Paperback,160,1989,-300,,3/14/18,to-read,to-read (#174),to-read,,,,0,,,0,,,,,
126274,Understanding Media: The Extensions of Man,Marshall McLuhan,"McLuhan, Marshall",Lewis H. Lapham,0262631598,9780262631594,0,4.11,The MIT Press,Paperback,389,1994,1964,,3/14/18,to-read,to-read (#173),to-read,,,,0,,,0,,,,,
26046333,Designing Your Life: Build a Life that Works for You,Bill Burnett,"Burnett, Bill",Dave Evans,1784740241,9781784740245,3,3.94,Chatto  Windus,Paperback,240,2016,2016,,3/14/18,,,read,"The Big Idea:<br/><br/>""â€œWhen designing your life, you start with who you are (chapters 1, 2, and 3). Then you have lots of ideas (rather than wait and wait to have the idea of the century) and you try things out by doing them (chapters 4, 5, and 6), and then you make the best choice you can (chapter 8). As you do all this, including making choices that set you on one path for a number of years, you grow various aspects of your personality and identity that are nurtured and called upon by those experiencesâ€”you become more yourself. In this way, you energize a very productive cycle of growth, naturally evolving from being, to doing, to becoming. Then it all repeats, as the more-like-you version of you (your new being) takes the next step of doing, and so it goes.â€ù <br/><br/>Stanford  professors in the Design Department teach the most popular class at Stanford: Designing Your Life.  This is their book with the same goal.""<br/>Â <br/>Highlights:<br/>Â <br/>â€œFor most people, passion comes after they try something, discover they like it, and develop mastery - not before. To put it more succinctly: passion is the result of a good life design, not the cause.â€ù <br/><br/>""<br/>â€œThese are all gravity problemsâ€”meaning they are not real problems. Why? Because in life design, if itâ€™s not actionable, itâ€™s not a problem. Letâ€™s repeat that. If itâ€™s not actionable, itâ€™s not a problem. Itâ€™s a situation, a circumstance, a fact of life. It may be a drag (so to speak), but, like gravity, itâ€™s not a problem that can be solved.â€ù <br/><br/>Gravity problems: if itâ€™s not actionable, itâ€™s not a problem. Two types of gravity problems: totally un-actionable and functionally un-actionable.  Either way, focus on finding actionable solutions to actionable problems""<br/><br/>""â€œThatâ€™s why you start where you are. Not where you wish you were. Not where you hope you are. Not where you think you should be. But right where you are.â€ù <br/><br/><br/>â€œAs a life designer, you need to embrace two philosophies: 1. You choose better when you have lots of good ideas to choose from. 2. You never choose your first solution to any problem.â€ù <br/>""<br/><br/><br/>Actionable Items:<br/><br/>""Health/Work/Play/Love dashboard:<br/><br/>Consider updating Todoist to align with this framework?<br/>Align with 1 Big Thing idea and make sure there's something going for each at all times?<br/><br/>""<br/><br/>""Re-read/do the exercises in the book:<br/>Health/Work/Play/Love dashboard.  For each area:<br/>1. Mark where you are (0 to Full)<br/>2. Mark where you would be if you made an incremental improvement (0 to Full)<br/>3. Review what incremental change you could make, and how you could pilot for 2 weeks.<br/><br/>Good Time Journal, work view and life view exercise / reflections, & other exercises<br/><br/>Use of ideation tools to help come up with better ideas""<br/><br/>""Build an intentional menâ€™s group / Group of friends help you design your life<br/><br/>Identifying your team: supporters, players who are the active participants in your life design project, intimates, the team , etc.<br/><br/>Donâ€™t start with the problem start with people, start with empathy<br/><br/>The question is what do you want to be to grow up. The question is what do you want to grow into?<br/><br/>Connect who you are, what you believe, and what you were doing.""<br/><br/>Other Notes & Takeaways:<br/>""There's lots to recommend, but the book itself is very focused on discussing career design, and is rather lacking in useful exercises.  It may have been an artifact of listening to the audiobook, but I listened intently but didn't finish with any form of life design plan.  Just some useful thoughts.<br/><br/>I'd say it looses a star for not being the 5 star book it could be.""<br/><br/><br/><br/>Format Consumed:<br/>Audiobook",,,1,,,1,3/5/18,Amazon,Brand new,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,1101904224,9781101904220,3,4.1,Crown,Hardcover,342,2016,2016,,3/14/18,,,read,"The Big Idea:<br/><br/>Man had the choice to choose a life of academics in particle physics and a nobel prize, or a family life.  Chose the family life.  In another dimension of the branching timeline, a different version of protagonist creates a machine to travel between different worlds (same location, same time).  Adventure ensues<br/>Â <br/>Highlights:<br/>Â <br/>""â€œNo one tells you itâ€™s all about to change, to be taken away. Thereâ€™s no proximity alert, no indication that youâ€™re standing on the precipice. And maybe thatâ€™s what makes tragedy so tragic. Not just what happens, but how it happens: a sucker punch that comes at you out of nowhere, when youâ€™re least expecting it. No time to flinch or brace.â€ù <br/>""<br/><br/>""â€œImagine youâ€™re a fish, swimming in a pond. You can move forward and back, side to side, but never up out of the water. If someone were standing beside the pond, watching you, youâ€™d have no idea they were there. To you, that little pond is an entire universe. Now imagine that someone reaches down and lifts you out of the pond. You see that what you thought was the entire world is only a small pool. You see other ponds. Trees. The sky above. You realize youâ€™re a part of a much larger and more mysterious reality than you had ever dreamed of.â€ù <br/>""<br/><br/><br/><br/><br/>Actionable Items:<br/><br/><br/><br/><br/><br/><br/><br/>Other Notes & Takeaways:<br/>Pulp fiction in the Stephen King vein.  Good start, well paced middle, soft ending.  Feels like it could have used some strong editing/rewrites to tighten up the narrative to go with the excellent premise.<br/><br/><br/><br/>Format Consumed:<br/>Audiobook",,,1,,,0,,,,,
22544758,Triggers: Creating Behavior That Lastsâ€”Becoming the Person You Want to Be,Marshall Goldsmith,"Goldsmith, Marshall",,0804141231,9780804141239,0,3.97,Crown Business,Hardcover,244,2015,2015,,3/6/18,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
42148,"Kissing the Beehive (Crane's View, #1)",Jonathan Carroll,"Carroll, Jonathan",,0575402911,9780575402911,0,3.69,Orion,Mass Market Paperback,256,2000,1997,,3/3/18,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,0553418629,9780553418620,0,4.08,Broadway Books,Paperback,388,2016,2015,,3/3/18,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,1591847818,9781591847816,0,4.14,Portfolio,Hardcover,226,2016,2016,,2/27/18,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
10056014,Why Civil Resistance Works: The Strategic Logic of Nonviolent Conflict,Erica Chenoweth,"Chenoweth, Erica",Maria J. Stephan,0231156820,9780231156820,0,4.07,Columbia University Press,Hardcover,320,2011,2011,,2/23/18,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,0553804677,9780553804676,0,4.3,Bantam Spectra,Hardcover,499,2006,2006,,2/22/18,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
